Three letter id's for each ovl:

alw assert_always
aoe assert_always_on_edge
chg assert_change
csq assert_cycle_sequence
dec assert_decrement
dlt assert_delta
evp assert_even_parity
fix assert_fifo_index
frm assert_frame
hnd assert_handshake
imp assert_implication
inc assert_increment
nvr assert_never
nun assert_never_unknown
nua assert_never_unknown_async
nxt assert_next
noo assert_no_overflow
not assert_no_transition
nou assert_no_underflow
odp assert_odd_parity
ocd assert_one_cold
oht assert_one_hot
prp assert_proposition
qst assert_quiescent_state
rng assert_range
tim assert_time
trn assert_transition
unc assert_unchange
wid assert_width
wch assert_win_change
wuc assert_win_unchange
win assert_window
zoh assert_zero_one_hot

Sorted by id:

aoe assert_always_on_edge
chg assert_change
csq assert_cycle_sequence
dec assert_decrement
dlt assert_delta
evp assert_even_parity
fix assert_fifo_index
frm assert_frame
hnd assert_handshake
imp assert_implication
inc assert_increment
noo assert_no_overflow
not assert_no_transition
nou assert_no_underflow
nua assert_never_unknown_async
nun assert_never_unknown
nvr assert_never
nxt assert_next
ocd assert_one_cold
odp assert_odd_parity
oht assert_one_hot
prp assert_proposition
qst assert_quiescent_state
rng assert_range
tim assert_time
trn assert_transition
unc assert_unchange
wch assert_win_change
wid assert_width
win assert_window
wuc assert_win_unchange
zoh assert_zero_one_hot
